Country,Year,CleanFuelAccess,ElectricityAccess,CO2Emissions,ElecPowerConsumption,CoalElectricity,HydroElectricity,GasElectricity,NuclearElectricity,OilElectricity,RenewableElectricity,RenewableElectricity_kWh,EnergyIntensity,EnergyUse,FossilFuelConsumption,GDPGrowth,GDPPerCapita,PrivateEnergyInvest,LandArea,PopDensity,TotalPopulation,PPP_EnergyInvest,RenewableEnergyConsumption,TotalGHGEmissions,Latitude,Longitude
Gabon,2001,66.1,77.16643,4.764884,866.3774,0.0,62.40227,22.31699,0.0,14.78323,0.497512,7000000.0,3.18,1208.234,35.18228,2.135233,3844.561,172000000.0,257670.0,5.070788,1306590.0,172000000.0,72.42,16444.98,-0.80369,11.60944
Kiribati,2004,1.4,62.41753,0.527935,27386.13,0.0,82.72533,0.0,0.0,0.060627,17.21405,1420000000.0,6.05,83.13934,0.0,-1.62936,1063.878,4580000.0,810.0,118.7951,96224.0,19800000.0,50.55,72.64646,1.836898,-157.377
Honduras,2001,31.9,64.2,0.848233,489.1881,0.0,49.02163,0.0,0.0,50.74665,0.23172,9000000.0,4.88,471.7307,52.81255,2.723193,1118.941,243000000.0,111890.0,61.11235,6837861.0,243000000.0,50.4,13417.02,15.2,-86.2419
Nauru,2005,100.0,98.97237,6.057375,27386.13,0.0,82.72533,0.0,0.0,0.060627,17.21405,1420000000.0,15.81,822.4195,0.0,-7.84314,5289.818,4580000.0,20.0,515.9,10318.0,19800000.0,0.0,67.24568,-0.52278,166.9315
Azerbaijan,2007,89.2,99.46292,3.219524,2118.211,0.0,10.82071,70.90676,0.0,18.27253,0.0,0.0,5.23,1411.557,97.7647,24.85157,3851.331,222000000.0,82629.0,103.8534,8581300.0,222000000.0,3.78,45085.84,40.14311,47.57693
Liberia,2020,0.4,27.55975,0.231839,635.3264,0.0,21.40221,4.049559,0.0,71.86374,2.684488,61000000.0,14.02,643.4456,53.98814,-2.98249,597.5297,76600000.0,96320.0,52.8196,5087584.0,167000000.0,92.96,2155.395,6.428055,-9.4295
Turkmenistan,2017,99.9,100.0,10.70166,1478.252,0.0,79.99549,20.0,0.0,0.004508,0.0,0.0,12.1,836.5128,33.47055,6.5,6354.533,155000000.0,469930.0,12.70058,5968383.0,155000000.0,0.06,196842.5,38.96972,59.55628
Georgia,2004,52.5,99.93,0.858876,1814.46,0.0,87.3628,12.03062,0.0,0.606586,0.0,0.0,4.47,707.9866,53.77327,5.794496,1305.047,27000000.0,69490.0,68.71024,3927340.0,27000000.0,54.53,11831.4,42.31541,43.35689
Gabon,2003,69.7,78.49268,4.669479,896.6931,0.0,58.67014,22.6206,0.0,18.25293,0.456323,7000000.0,4.43,1625.356,23.57892,2.24733,4724.255,154000000.0,257670.0,5.34947,1378398.0,154000000.0,83.63,17186.88,-0.80369,11.60944
Cambodia,2013,16.4,50.9,0.382515,221.938,9.505062,57.14286,0.0,0.0,32.56468,0.787402,14000000.0,4.47,397.6187,28.61223,7.356665,1015.221,152000000.0,176520.0,84.97441,14999683.0,143000000.0,64.97,28694.76,12.56568,104.991
