Country,CO2Emissions,HydroElectricity,NuclearElectricity,RenewableElectricity,EnergyIntensity,EnergyUse,GDPPerCapita,PPP_EnergyInvest,RenewableEnergyConsumption
Afghanistan,0.304230216,52.32924917,0,0.1286173634,2.46,4124.1221712,554.5947346,1183146000,15.15
Angola,0.975916772,67.95742338,0,0,2.61,520.7853388,3496.784796,770080000,52.51
Australia,17.97375152,5.344130837,0,3.267748792,5.34,5793.116026,52132.46961,4348148000,8.16
Bangladesh,0.340233253,1.787202746,0,0,2.47,205.6245892,776.8595769,137130000,40.31
Benin,0.510824491,0,0,0.869565217,6,386.7745252,1009.489494,7098278000,47.19
Botswana,1.611970183,0,0,0,3.49,1029.728962,6041.732051,403815400,29.41
Burkina Faso,0.129944788,72.943219542,0,0.5417320768,5.42,471.86351448,627.2703954,1183146000,82.8
Canada,15.79453766,58.18440158,15.01318195,3.212355264,7.11,7788.560786,47562.08343,4348148000,21.13
Chile,4.101883998,35.93506966,0,4.267465334,3.58,1814.122096,12767.78204,4348148000,27.04
"Congo, Rep.",1.222057629,54.71938776,0,0,3.18,377.8544009,2962.76248,827420000,54.8
Curacao,5.5123151966,14.762881764,0,5.234773434,20.32,13710.07982,33152.174982,1829800000,0.5
Dominica,2.508908443,29.3113988994,6.627550688,0.3177086728,3.02,4864.86735702,7182.400203,67111200,10.28
Equatorial Guinea,5.525506978,25.9104073986,0,1.5689601974,2.36,7692.13268942,14905.51457,4348148000,5.74
Faroe Islands,7.1299089646,25.6374306714,6.855925608,3.682968787,9.24,6064.55492282,48167.66751,4348148000,3.38
Gabon,3.367467221,46.87338501,0,0.465116279,9.09,2970.046841,8399.597344,265890000,85.83
Gibraltar,5.4086830652,0,0,0,6.314,5533.427164,25105.271748,1829800000,0
Guatemala,0.804898453,43.28123243,0,20.56673788,4.14,714.9102221,2852.557652,758000000,67.08
Honduras,0.937979274,45.44783828,0,2.360926664,4.86,540.0653395,1874.271704,250000000,53.63
Indonesia,1.702905979,10.28305499,0,5.570969927,4.26,869.2329668,3094.443079,2300000000,35.96
Israel,9.250262343,0.05290915,0,0.237237801,3.76,3042.434021,31266.60532,4348148000,8.55
Kazakhstan,14.07327542,9.706458873,0,0,8.55,4234.851064,9070.488253,1269922000,1.38
Kosovo,2.3044084216,3.018575851,0,0.019349845,6.178,1405.040886,3009.523465,827420000,11.308
Lebanon,4.176368149,5.339867617,0,0,2.8,1276.757676,7695.245415,221051200,5.7
Lithuania,4.06905151,10.81297557,0,7.428914698,3.98,2275.760166,11987.50841,4348148000,21.46
Malaysia,6.959707228,5.186479252,0,0.80618018,5.24,2555.277644,8880.14604,34000000,1.96
Mauritania,0.606440606,40.142532642,0,0.2534773958,2.81,3225.2619023,1646.130447,378870000,34
Monaco,15.3196275776,30.5455890648,7.975231636,7.9965803248,2.678,7650.812986,161780.7475,4348148000,22.628
Myanmar,0.164631248,67.67864245,0,0,4.16,283.8799661,765.2418886,1183146000,84.93
New Caledonia,8.8198320884,15.980867641,3.283678312,2.904520343,10.76,6767.63730822,37494.89516,4348148000,4.85
North Macedonia,4.053325444,33.48484848,0,0,4.33,1401.181214,4577.689576,315366200,22.3
Palau,11.58576052,25.333302216,1.5716813714,1.3506704678,10.56,4679.03403802,10029.28803,2111328000,0
Philippines,0.865602879,11.51870332,0,14.77960497,3.14,426.8654338,2201.776819,1451000000,32.6
Romania,3.832784829,32.79994721,19.17385638,0.687903133,3.56,1730.087676,8397.809173,265890000,24.08
Sao Tome and Principe,0.564407208,27.671095838,0,4.7181380914,4.17,4173.25367442,1079.689654,1244926000,38.2
Sierra Leone,0.087032202,71.933581456,0,0.2770673136,6.6,421.66050118,400.5406934,1183146000,84.89
Solomon Islands,0.634351973,40.142532642,0,0.2534773958,6.19,3225.2619023,1661.997814,378870000,45.07
Sri Lanka,0.632448603,52.16183687,0,0.953615406,2.21,471.3088098,2836.974098,684400000,61.85
Sudan,0.486883006,82.70436058,0,0,3.2,495.2336746,1706.414917,378870000,61.31
Tajikistan,0.321040534,99.78703985,0,0,5.06,285.4933212,740.2761913,1183146000,61.83
Tonga,1.09607666,52.342301608,7.672161454,0.0215683254,3.1,4270.93456682,3416.110432,770080000,1.01
Turks and Caicos Islands,7.5581535414,18.0779114096,12.943433056,0.3850420342,5.39,5726.78093342,23103.94268,4348148000,0.34
United Kingdom,7.689567494,0.941930575,16.41839156,5.870882852,3.21,3230.615984,39693.19387,4348148000,3.13
"Venezuela, RB",5.714834556,67.49000132,0,0,6.28,2520.646685,13692.91497,4348148000,13.79
Zambia,0.19263946,99.87557427,0,0,7.89,596.2502699,1469.36145,6250622000,88.59
